state,gender,median_home_val,avg_fam_income,avg_household_income,med_fam_income,median_household_income,hvp1,per_capita_income,pobc2,avggift,domain,target_d,med_fam_income_binned
FL,Male,1159.1485913737222,520.0,466,430.0,392,7,21975.0,16,28,C2,100.0,Moderate
IL,Male,537.0,473.0,410,415.0,365,0,19387.0,89,5,T2,7.0,Moderate
FL,Female,725.0,436.0,361,340.0,301,3,18837.0,17,4,C2,5.0,Low
NC,Male,1159.1485913737222,413.0,399,407.0,401,7,14014.0,74,27,T2,38.0,Moderate
FL,Female,995.0,348.0,316,280.0,252,0,17991.0,6,6,C2,5.0,Low
IL,Male,764.0,501.0,480,477.0,457,1,16022.0,75,25,S2,30.0,Moderate
NC,Female,775.0,419.0,380,364.0,318,5,13491.0,73,4,R2,12.0,Low
TX,Male,890.0,560.0,551,525.0,519,0,17872.0,46,6,C1,7.0,Moderate
CA,Female,1159.1485913737222,250.0,235,206.0,184,0,8708.0,63,8,T2,10.0,Low
NV,Female,1569.0,781.0,785,672.0,673,22,25775.0,44,13,T1,5.0,Moderate
CA,Female,3515.0,588.0,549,565.0,521,97,20068.0,54,8,U1,10.0,Moderate
Cali,Female,1026.0,496.0,491,470.0,459,1,13803.0,52,11,T2,10.0,Moderate
AP,F,0.0,0.0,0,0.0,0,0,0.0,0,5,0,6.0,Low
MI,F,890.0,523.0,512,474.0,463,1,9493.0,53,11,S1,15.0,Moderate
FL,Female,1513.0,702.0,615,599.0,521,31,28124.0,24,18,T1,28.0,Moderate
FL,Female,948.0,411.0,368,365.0,330,4,17728.0,8,15,C2,15.0,Low
TX,Female,258.0,74.0,93,60.0,64,0,4236.0,94,5,C3,6.0,Low
CA,F,1951.0,625.0,619,578.0,556,44,17208.0,66,9,S1,12.0,Moderate
OK,F,1040.0,656.0,579,609.0,472,0,26962.0,56,11,C2,15.0,Moderate
AR,F,603.0,341.0,288,264.0,208,2,12038.0,70,5,0,5.0,Low
IN,Female,526.0,370.0,317,336.0,277,1,12826.0,80,7,T2,10.0,Low
MT,Male,717.0,432.0,349,458.0,302,1,15614.0,53,9,C1,25.0,Moderate
TX,Male,1011.0,650.0,650,588.0,593,1,17606.0,61,6,S1,15.0,Moderate
IL,Male,1063.0,317.0,312,260.0,255,3,14023.0,53,8,S2,5.0,Low
IL,Male,291.0,212.0,180,168.0,136,0,8370.0,67,10,R3,10.0,Low
CA,Male,1538.0,393.0,342,317.0,271,11,15627.0,49,5,S2,5.0,Low
WI,Female,592.0,392.0,306,341.0,244,1,12220.0,74,12,S1,5.0,Low
MO,Male,871.0,416.0,365,385.0,340,6,15336.0,71,7,C2,10.0,Moderate
IN,Male,403.0,264.0,201,240.0,174,1,9704.0,45,8,S3,10.0,Low
